location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition,Commune,Sous_Commune,Commune_Principale,Province,Region,median_terrace_area,median_garden_area,median_facade,type_num,AS_NEW,GOOD,JUST_RENOVATED,TO_BE_DONE_UP,TO_RENOVATE,TO_RESTORE,reg_BRUXELLES,reg_VLAANDEREN,reg_WALLONIE,ANVERS,BRABANT FLAMAND,BRABANT WALLON,BRUXELLES,FLANDRE-OCCIDENTALE,FLANDRE-ORIENTALE,HAINAUT,LIEGE,LIMBOURG,LUXEMBOURG,NAMUR
6800,HOUSE,HOUSE,295000,5,460,1,0,0,1,10,0,,321,2,0,TO_BE_DONE_UP,Libramont-Chevigny,Non,LIBRAMONT-CHEVIGNY,LUXEMBOURG,WALLONIE,10,10,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
7800,HOUSE,HOUSE,230000,4,128,0,0,0,0,,0,,570,4,0,,Ath,Non,ATH,HAINAUT,WALLONIE,16,16,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
6044,HOUSE,HOUSE,130000,2,110,1,1,0,1,,1,300,470,3,0,TO_BE_DONE_UP,Roux,Oui,CHARLEROI,HAINAUT,WALLONIE,16,16,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4970,HOUSE,HOUSE,450000,9,400,1,0,0,0,,1,1300,1500,4,0,,Stavelot,Non,STAVELOT,LIEGE,WALLONIE,16,16,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
9890,HOUSE,MANSION,435000,5,452,0,0,0,0,,1,,460,4,0,TO_RENOVATE,Gavere,Non,GAVERE,FLANDRE-ORIENTALE,VLAANDEREN,16,200,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
9450,HOUSE,HOUSE,265000,3,180,0,0,0,0,,1,,240,,0,TO_BE_DONE_UP,Haaltert,Non,HAALTERT,FLANDRE-ORIENTALE,VLAANDEREN,16,200,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
4020,HOUSE,HOUSE,121000,3,85,1,0,0,1,20,0,,69,,0,GOOD,Liège,Non,LIÈGE,LIEGE,WALLONIE,20,20,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1160,HOUSE,HOUSE,550000,3,150,0,0,1,1,10,1,100,141,2,0,TO_RENOVATE,Auderghem,Non,AUDERGHEM,BRUXELLES,BRUXELLES,10,10,2,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1850,HOUSE,HOUSE,490000,4,200,1,0,0,0,,1,90,190,,0,GOOD,Grimbergen,Non,GRIMBERGEN,BRABANT FLAMAND,VLAANDEREN,16,16,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2170,HOUSE,HOUSE,325000,3,145,1,0,0,1,17,1,62,130,2,0,JUST_RENOVATED,Merksem,Oui,ANTWERPEN,ANVERS,VLAANDEREN,17,17,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
8830,HOUSE,HOUSE,245000,3,131,1,0,0,1,,1,1,672,,0,GOOD,Hooglede,Non,HOOGLEDE,FLANDRE-OCCIDENTALE,VLAANDEREN,16,16,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
6000,HOUSE,TOWN_HOUSE,150000,2,80,1,0,0,1,45,0,,0,2,0,TO_RENOVATE,Charleroi,Non,CHARLEROI,HAINAUT,WALLONIE,45,45,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
6044,HOUSE,HOUSE,145000,3,120,1,0,0,1,,0,,0,2,0,TO_BE_DONE_UP,Roux,Oui,CHARLEROI,HAINAUT,WALLONIE,16,16,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
9600,APARTMENT,APARTMENT,165000,1,69,1,0,0,0,,1,42,,2,0,GOOD,Renaix,Non,RENAIX,FLANDRE-ORIENTALE,VLAANDEREN,16,16,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2560,HOUSE,HOUSE,324000,3,196,1,0,0,1,11,1,30,126,2,0,,Nijlen,Non,NIJLEN,ANVERS,VLAANDEREN,11,11,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
8000,HOUSE,HOUSE,405000,4,166,0,0,0,0,,0,,195,,0,,Brugge,Non,BRUGGE,FLANDRE-OCCIDENTALE,VLAANDEREN,16,16,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8710,HOUSE,HOUSE,412000,3,142,1,0,0,1,15,0,,389,2,0,GOOD,Wielsbeke,Non,WIELSBEKE,FLANDRE-OCCIDENTALE,VLAANDEREN,15,15,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1325,APARTMENT,DUPLEX,265000,2,93,1,0,0,1,12,0,,,4,0,,Chaumont-Gistoux,Non,CHAUMONT-GISTOUX,BRABANT WALLON,WALLONIE,12,12,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1330,HOUSE,VILLA,749000,9,420,1,0,0,1,,0,,1296,4,0,GOOD,Rixensart,Non,RIXENSART,BRABANT WALLON,WALLONIE,16,16,4,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
9120,APARTMENT,APARTMENT,322500,2,106,1,0,0,1,32,0,,,,0,,Beveren-Waas,Non,BEVEREN-WAAS,FLANDRE-ORIENTALE,VLAANDEREN,32,32,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
9402,APARTMENT,APARTMENT,167990,1,60,0,0,0,0,,0,,,,0,,Meerbeke,Oui,NINOVE,FLANDRE-ORIENTALE,VLAANDEREN,16,16,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2000,APARTMENT,APARTMENT,256000,1,80,1,0,0,0,,0,,,2,0,GOOD,Antwerpen,Non,ANTWERPEN,ANVERS,VLAANDEREN,16,16,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
8310,APARTMENT,GROUND_FLOOR,219000,2,92,0,0,0,0,,0,,,,0,,Assebroek,Oui,BRUGGE,FLANDRE-OCCIDENTALE,VLAANDEREN,16,16,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
4500,APARTMENT,APARTMENT,208000,2,90,0,0,0,1,10,0,,,,0,,Huy,Non,HUY,LIEGE,WALLONIE,10,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3590,APARTMENT,APARTMENT,221340,2,99,1,0,0,1,10,0,,,,0,AS_NEW,Diepenbeek,Non,DIEPENBEEK,LIMBOURG,VLAANDEREN,10,10,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2000,APARTMENT,APARTMENT,235000,1,50,1,1,0,1,4,0,,,2,0,AS_NEW,Antwerpen,Non,ANTWERPEN,ANVERS,VLAANDEREN,4,4,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4987,HOUSE,HOUSE,120000,2,120,0,0,0,0,,0,,400,3,0,TO_RESTORE,Stoumont,Non,STOUMONT,LIEGE,WALLONIE,16,16,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8800,APARTMENT,PENTHOUSE,120000,2,88,0,0,0,1,,0,,,2,0,GOOD,Roeselare,Non,ROESELARE,FLANDRE-OCCIDENTALE,VLAANDEREN,16,16,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
9280,APARTMENT,APARTMENT,230000,2,92,1,0,0,1,,0,,,,0,AS_NEW,Lebbeke,Non,LEBBEKE,FLANDRE-ORIENTALE,VLAANDEREN,16,16,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
4500,APARTMENT,APARTMENT,183000,2,80,0,0,0,1,5,0,,,2,0,,Huy,Non,HUY,LIEGE,WALLONIE,5,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1050,APARTMENT,APARTMENT,345000,1,65,0,1,0,1,7,0,,,,0,,Ixelles,Non,IXELLES,BRUXELLES,BRUXELLES,7,7,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
