postalCode,Commune,Sous_Commune,Commune_Principale,Province,Region
0612,Saint-Nicolas,,Saint-Nicolas,,
1000,Bruxelles,Non,BRUXELLES,BRUXELLES,BRUXELLES
1005,Assemblée Réunie de la Commission Communautaire,,Assemblée Réunie de la Commission Communautaire,,
1006,Raad van de Vlaamse Gemeenschapscommissie ,,Raad van de Vlaamse Gemeenschapscommissie ,,
1007,Assemblée de la Commission Communautaire Française,,Assemblée de la Commission Communautaire Française,,
1008,Chambre des Représentants,,Chambre des Représentants,,
1009,Senat de Belgique,,Senat de Belgique,,
1011,Vlaams parlement,,Vlaams parlement,,
1012,Parlement de la Communauté française,,Parlement de la Communauté française,,
1020,Laeken,Oui,BRUXELLES,BRUXELLES,BRUXELLES
1030,Schaerbeek,Non,SCHAERBEEK,BRUXELLES,BRUXELLES
1031,Organisations Sociales Chrétiennes,,Organisations Sociales Chrétiennes,,
1033,RTL-TVI,,RTL-TVI,,
1035,Ministère de la Région de Bruxelles Capitale,,Ministère de la Région de Bruxelles Capitale,,
1040,Etterbeek,Non,ETTERBEEK,BRUXELLES,BRUXELLES
1041,International Press Center,,International Press Center,,
1043,VRT,,VRT,,
1044,RTBF,,RTBF,,
1046,European External Action Service,,European External Action Service,,
1047,Parlement Européen,,Parlement Européen,,
1048,Union Européenne - Conseil,,Union Européenne - Conseil,,
1049,Union Européenne - Commission,,Union Européenne - Commission,,
1050,Ixelles,Non,IXELLES,BRUXELLES,BRUXELLES
1060,Saint-Gilles,Non,SAINT-GILLES,BRUXELLES,BRUXELLES
1070,Anderlecht,Non,ANDERLECHT,BRUXELLES,BRUXELLES
1080,Molenbeek-Saint-Jean,Non,MOLENBEEK-SAINT-JEAN,BRUXELLES,BRUXELLES
1081,Koekelberg,Non,KOEKELBERG,BRUXELLES,BRUXELLES
1082,Berchem-Sainte-Agathe,Non,BERCHEM-SAINTE-AGATHE,BRUXELLES,BRUXELLES
1083,Ganshoren,Non,GANSHOREN,BRUXELLES,BRUXELLES
1090,Jette,Non,JETTE,BRUXELLES,BRUXELLES
1099,Bruxelles X,,Bruxelles X,,
1100,Postcheque,,Postcheque,,
1101,Scanning,,Scanning,,
1105,ACTISOC,,ACTISOC,,
1110,OTAN,,OTAN,,
1120,Neder-Over-Heembeek,Oui,BRUXELLES,BRUXELLES,BRUXELLES
1130,Haren,Oui,BRUXELLES,BRUXELLES,BRUXELLES
1140,Evere,Non,EVERE,BRUXELLES,BRUXELLES
1150,Woluwe-Saint-Pierre,Non,WOLUWE-SAINT-PIERRE,BRUXELLES,BRUXELLES
1160,Auderghem,Non,AUDERGHEM,BRUXELLES,BRUXELLES
1170,Watermael-Boitsfort,Non,WATERMAEL-BOITSFORT,BRUXELLES,BRUXELLES
1180,Uccle,Non,UCCLE,BRUXELLES,BRUXELLES
1190,Forest,Non,FOREST,BRUXELLES,BRUXELLES
1200,Woluwe-Saint-Lambert,Non,WOLUWE-SAINT-LAMBERT,BRUXELLES,BRUXELLES
1210,Saint-Josse-ten-Noode,Non,SAINT-JOSSE-TEN-NOODE,BRUXELLES,BRUXELLES
1212,SPF Mobilité,,SPF Mobilité,,
1300,Limal,Oui,WAVRE,BRABANT WALLON,WALLONIE
1300,Wavre,Non,WAVRE,BRABANT WALLON,WALLONIE
1301,Bierges,Oui,WAVRE,BRABANT WALLON,WALLONIE
1310,La Hulpe,Non,LA HULPE,BRABANT WALLON,WALLONIE
1315,Glimes,Oui,INCOURT,BRABANT WALLON,WALLONIE
1315,Incourt,Non,INCOURT,BRABANT WALLON,WALLONIE
1315,Opprebais,Oui,INCOURT,BRABANT WALLON,WALLONIE
1315,Piétrebais,Oui,INCOURT,BRABANT WALLON,WALLONIE
1315,Roux-Miroir,Oui,INCOURT,BRABANT WALLON,WALLONIE
1320,Beauvechain,Non,BEAUVECHAIN,BRABANT WALLON,WALLONIE
1320,Hamme-Mille,Oui,BEAUVECHAIN,BRABANT WALLON,WALLONIE
1320,L'Ecluse,Oui,BEAUVECHAIN,BRABANT WALLON,WALLONIE
1320,Nodebais,Oui,BEAUVECHAIN,BRABANT WALLON,WALLONIE
1320,Tourinnes-La-Grosse,Oui,BEAUVECHAIN,BRABANT WALLON,WALLONIE
1325,Bonlez,Oui,CHAUMONT-GISTOUX,BRABANT WALLON,WALLONIE
1325,Chaumont-Gistoux,Non,CHAUMONT-GISTOUX,BRABANT WALLON,WALLONIE
1325,Corroy-Le-Grand,Oui,CHAUMONT-GISTOUX,BRABANT WALLON,WALLONIE
1325,Dion-Valmont,Oui,CHAUMONT-GISTOUX,BRABANT WALLON,WALLONIE
1325,Longueville,Oui,CHAUMONT-GISTOUX,BRABANT WALLON,WALLONIE
1330,Rixensart,Non,RIXENSART,BRABANT WALLON,WALLONIE
1331,Rosières,Oui,RIXENSART,BRABANT WALLON,WALLONIE
1332,Genval,Oui,RIXENSART,BRABANT WALLON,WALLONIE
1340,Ottignies,Oui,OTTIGNIES-LOUVAIN-LA-NEUVE,BRABANT WALLON,WALLONIE
1341,Céroux-Mousty,Oui,OTTIGNIES-LOUVAIN-LA-NEUVE,BRABANT WALLON,WALLONIE
1342,Limelette,Oui,OTTIGNIES-LOUVAIN-LA-NEUVE,BRABANT WALLON,WALLONIE
1348,Louvain-La-Neuve,Oui,OTTIGNIES-LOUVAIN-LA-NEUVE,BRABANT WALLON,WALLONIE
1350,Enines,Oui,ORP-JAUCHE,BRABANT WALLON,WALLONIE
1350,Folx-Les-Caves,Oui,ORP-JAUCHE,BRABANT WALLON,WALLONIE
1350,Jandrain-Jandrenouille,Oui,ORP-JAUCHE,BRABANT WALLON,WALLONIE
1350,Jauche,Oui,ORP-JAUCHE,BRABANT WALLON,WALLONIE
1350,Marilles,Oui,ORP-JAUCHE,BRABANT WALLON,WALLONIE
1350,Noduwez,Oui,ORP-JAUCHE,BRABANT WALLON,WALLONIE
1350,Orp-Le-Grand,Oui,ORP-JAUCHE,BRABANT WALLON,WALLONIE
1357,Linsmeau,Oui,HÉLÉCINE,BRABANT WALLON,WALLONIE
1357,Neerheylissem,Oui,HÉLÉCINE,BRABANT WALLON,WALLONIE
1357,Opheylissem,Oui,HÉLÉCINE,BRABANT WALLON,WALLONIE
1360,Malèves-Sainte-Marie-Wastinnes,Oui,PERWEZ,BRABANT WALLON,WALLONIE
1360,Orbais,Oui,PERWEZ,BRABANT WALLON,WALLONIE
1360,Perwez,Non,PERWEZ,BRABANT WALLON,WALLONIE
1360,Thorembais-Les-Béguines,Oui,PERWEZ,BRABANT WALLON,WALLONIE
1360,Thorembais-Saint-Trond,Oui,PERWEZ,BRABANT WALLON,WALLONIE
1367,Autre-Eglise,Oui,RAMILLIES,BRABANT WALLON,WALLONIE
1367,Bomal,Oui,RAMILLIES,BRABANT WALLON,WALLONIE
1367,Geest-Gérompont-Petit-Rosière,Oui,RAMILLIES,BRABANT WALLON,WALLONIE
1367,Gérompont,Oui,RAMILLIES,BRABANT WALLON,WALLONIE
1367,Grand-Rosière-Hottomont,Oui,RAMILLIES,BRABANT WALLON,WALLONIE
1367,Huppaye,Oui,RAMILLIES,BRABANT WALLON,WALLONIE
1367,Mont-Saint-André,Oui,RAMILLIES,BRABANT WALLON,WALLONIE
1367,Ramillies,Non,RAMILLIES,BRABANT WALLON,WALLONIE
1370,Dongelberg,Oui,JODOIGNE,BRABANT WALLON,WALLONIE
1370,Jauchelette,Oui,JODOIGNE,BRABANT WALLON,WALLONIE
1370,Jodoigne,Non,JODOIGNE,BRABANT WALLON,WALLONIE
1370,Jodoigne-Souveraine,Oui,JODOIGNE,BRABANT WALLON,WALLONIE
1370,Lathuy,Oui,JODOIGNE,BRABANT WALLON,WALLONIE
1370,Mélin,Oui,JODOIGNE,BRABANT WALLON,WALLONIE
1370,Piétrain,Oui,JODOIGNE,BRABANT WALLON,WALLONIE
1370,Saint-Jean-Geest,Oui,JODOIGNE,BRABANT WALLON,WALLONIE
1370,Saint-Remy-Geest,Oui,JODOIGNE,BRABANT WALLON,WALLONIE
1370,Zétrud-Lumay,Oui,JODOIGNE,BRABANT WALLON,WALLONIE
1380,Couture-Saint-Germain,Oui,LASNE,BRABANT WALLON,WALLONIE
1380,Lasne-Chapelle-Saint-Lambert,Oui,LASNE,BRABANT WALLON,WALLONIE
1380,Maransart,Oui,LASNE,BRABANT WALLON,WALLONIE
1380,Ohain,Oui,LASNE,BRABANT WALLON,WALLONIE
1380,Plancenoit,Oui,LASNE,BRABANT WALLON,WALLONIE
1390,Archennes,Oui,GREZ-DOICEAU,BRABANT WALLON,WALLONIE
1390,Biez,Oui,GREZ-DOICEAU,BRABANT WALLON,WALLONIE
1390,Bossut-Gottechain,Oui,GREZ-DOICEAU,BRABANT WALLON,WALLONIE
1390,Grez-Doiceau,Non,GREZ-DOICEAU,BRABANT WALLON,WALLONIE
